LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,label
18,49,6,8,25,25,24,136,119.52,30.27,109491.18,1.21,579,0.03,6082.84,3617.55,227,352,60,16,172,Y
6,9,0,0,5,5,1,17,21.27,14.62,4550.4,0.1,67,0.07,252.8,311.14,27,40,12,13,25,Y
3,19,8,2,10,9,5,35,48.03,17.61,14891.16,0.28,154,0.06,827.29,845.75,58,96,28,17,50,Y
5,3,0,0,2,2,1,19,47.55,12.25,7135.87,0.19,111,0.08,396.44,582.52,42,69,24,14,31,Y
9,43,0,6,22,13,5,69,56.13,24.21,32903.35,0.45,232,0.04,1827.96,1359.05,92,140,38,20,87,Y
12,21,0,8,11,5,5,81,68.05,28.38,54807.07,0.64,313,0.04,3044.84,1931.19,129,184,50,22,103,Y
5,16,8,6,9,5,4,53,28.44,40.04,45604.57,0.38,197,0.02,2533.59,1138.93,62,135,24,31,74,Y
2,27,0,0,14,13,9,78,55.63,35.38,69630.72,0.66,342,0.03,3868.37,1968.17,154,188,37,17,83,Y
27,149,1,96,75,30,51,396,239.48,64.26,989013.72,5.13,1898,0.02,54945.21,15389.98,885,1013,241,35,520,Y
1,1,0,0,1,1,1,5,18.11,2.8,142.01,0.02,16,0.36,7.89,50.72,7,9,5,4,8,Y
13,21,0,13,11,8,4,86,89.84,23.12,48013,0.69,340,0.04,2667.39,2076.9,131,209,51,18,115,N
36,33,3,26,17,14,4,168,135.94,35.37,170018.12,1.6,701,0.03,9445.45,4807.44,286,415,93,23,235,Y
19,19,0,9,10,7,4,92,92.11,26.85,66417.96,0.82,381,0.04,3689.89,2473.4,166,215,68,22,122,Y
9,37,1,7,19,7,7,77,60.1,26.56,42382.92,0.53,267,0.04,2354.61,1595.93,123,144,44,19,94,Y
13,5,0,2,3,1,1,113,164.62,23.31,89460.55,1.28,567,0.04,4970.03,3837.56,271,296,93,16,130,Y
8,11,1,5,6,2,5,40,29.31,32.2,30392.25,0.31,169,0.03,1688.46,943.86,70,99,25,23,56,Y
26,9,0,0,5,5,1,61,73.87,27.13,54363.83,0.67,334,0.04,3020.21,2004,150,184,47,17,89,Y
37,7,0,3,4,4,1,117,174.15,31.63,174268.57,1.84,799,0.03,9681.59,5508.96,355,444,101,18,159,N
8,29,0,0,15,8,1,51,53.03,34.48,63061.62,0.61,333,0.03,3503.42,1828.79,125,208,29,16,61,Y
14,75,6,26,38,23,22,157,51.28,60.83,189788.14,1.04,509,0.02,10543.79,3119.81,219,290,45,25,205,Y
12,23,3,2,14,6,8,69,25.97,50.14,65286,0.43,217,0.02,3627,1302,78,139,28,36,89,Y
3,1,0,0,1,1,1,5,19.43,3.43,228.37,0.02,18,0.29,12.69,66.61,8,10,7,6,10,Y
2,3,0,0,2,2,1,15,49.11,4.93,1192.85,0.08,56,0.2,66.27,242.03,23,33,14,6,19,Y
11,25,0,12,13,8,6,50,37.81,29.24,32322.63,0.37,205,0.03,1795.7,1105.43,86,119,25,17,75,Y
10,25,0,12,13,8,6,50,37.81,29.24,32322.63,0.37,205,0.03,1795.7,1105.43,86,119,25,17,74,Y
74,161,10,27,81,38,50,424,127.89,95.95,1177372.47,4.09,1693,0.01,65409.58,12270.74,692,1001,119,33,537,Y
6,15,0,5,8,8,6,31,24.3,24.5,14583.21,0.2,117,0.04,810.18,595.23,49,68,17,17,45,Y
6,9,0,1,5,2,3,32,43.39,21.38,19824.86,0.31,172,0.05,1101.38,927.48,57,115,24,18,41,Y
12,49,0,16,25,9,15,117,95.89,47.53,216664.22,1.52,715,0.02,12036.9,4558.15,248,467,60,23,149,Y
34,32,1,18,17,13,6,219,80.97,64.48,336771.99,1.74,793,0.02,18709.55,5221.88,298,495,67,29,274,Y
4,3,0,2,2,1,1,41,23.1,51.88,62158.27,0.4,252,0.02,3453.24,1198.23,83,169,12,15,49,Y
37,37,7,47,19,13,17,116,58.74,43.83,112821.45,0.86,420,0.02,6267.86,2574.3,168,252,46,24,209,Y
11,25,0,35,13,11,11,85,56.29,38.03,81406.65,0.71,367,0.03,4522.59,2140.67,121,246,35,22,134,Y
6,41,0,4,21,10,14,74,72.84,32.47,76802.79,0.79,356,0.03,4266.82,2365.21,159,197,71,29,84,Y
16,5,0,0,3,3,1,26,54.1,9.05,4433.56,0.16,103,0.11,246.31,489.75,43,60,19,8,44,Y
8,11,0,5,6,6,1,47,77.33,12.63,12344.19,0.33,169,0.08,685.79,977.05,74,95,41,14,63,Y
9,9,0,28,5,5,1,56,56.24,32.58,59713.02,0.61,298,0.03,3317.39,1832.62,136,162,48,23,93,Y
8,21,0,1,11,4,7,56,56.86,19.54,21716.35,0.37,194,0.05,1206.46,1111.22,76,118,35,18,67,Y
7,7,0,1,4,4,1,22,45.03,6.89,2137.13,0.1,66,0.15,118.73,310.23,31,35,18,8,32,Y
10,7,0,1,4,4,1,251,295.05,30.05,266464.28,2.96,1211,0.03,14803.57,8866.85,581,630,145,15,264,N
6,3,0,0,2,1,1,16,35.74,7.47,1992.78,0.09,59,0.13,110.71,266.89,28,31,15,8,24,Y
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,Y
25,45,0,0,23,22,1,95,139.86,12.4,21497.59,0.58,296,0.08,1194.31,1733.96,135,161,49,9,122,Y
3,11,3,0,10,1,1,33,37.94,11.81,5290.82,0.15,86,0.08,293.93,448.01,31,55,21,16,41,Y
3,12,3,0,11,1,1,36,39.81,12.57,6285.89,0.17,94,0.08,349.22,500.26,34,60,23,17,44,Y
24,65,8,9,33,24,24,141,125.76,37.58,177585.78,1.58,721,0.03,9865.88,4725.86,232,489,71,23,185,Y
24,25,4,31,13,12,12,81,118.74,26.57,83833.94,1.05,486,0.04,4657.44,3155.04,186,300,70,20,143,Y
6,1,0,11,1,1,1,12,39.89,5.75,1318.74,0.08,55,0.17,73.26,229.35,23,32,12,6,32,Y
1,1,1,0,1,1,1,1,0,0,0,0,2,0,0,2,0,2,0,2,6,N
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Y
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Y
51,65,0,66,33,24,10,165,176.14,17.89,56367.41,1.05,448,0.06,3131.52,3150.97,168,280,108,23,284,Y
17,11,0,6,6,4,1,64,77.19,23.39,42239.34,0.6,289,0.04,2346.63,1805.65,131,158,56,20,90,Y
12,29,2,11,15,11,1,70,56,33.77,63855.03,0.63,314,0.03,3547.5,1891.02,132,182,43,22,97,Y
21,113,0,30,57,40,47,122,132.52,30.46,122973.42,1.35,605,0.03,6831.86,4036.82,235,370,81,21,175,Y
18,25,3,4,14,10,8,107,66.17,41.9,116162.54,0.92,422,0.02,6453.47,2772.48,173,249,64,31,134,Y
6,47,0,18,24,20,23,59,48.07,30.65,45141.75,0.49,261,0.03,2507.87,1473.05,100,161,31,19,85,Y
8,19,13,3,10,9,5,68,74.55,27.29,55515.44,0.68,320,0.04,3084.19,2034.42,140,180,59,23,94,Y
32,58,8,45,32,27,7,166,79.87,55.23,243616.67,1.47,648,0.02,13534.26,4411.17,243,405,77,35,253,Y
2,5,0,0,3,1,1,8,24.34,6.87,1150.68,0.06,37,0.15,63.93,167.37,15,22,12,11,12,Y
26,61,2,8,31,25,18,130,90.65,65.86,393196.14,1.99,877,0.02,21844.23,5970.05,377,500,83,29,169,Y
34,35,0,0,18,11,9,114,99.85,21.97,48179.9,0.73,350,0.05,2676.66,2193.38,144,206,59,18,150,Y
12,29,4,17,15,11,5,82,46.15,37.86,66138.63,0.58,297,0.03,3674.37,1747.14,137,160,38,21,122,Y
6,13,3,6,7,7,1,53,44.25,21.94,21295.68,0.32,172,0.05,1183.09,970.74,78,94,32,18,74,Y
25,19,2,27,10,7,3,77,52.56,34.5,62562.83,0.6,307,0.03,3475.71,1813.42,138,169,40,20,136,Y
16,43,23,10,22,19,14,121,71.66,44.2,140024.04,1.06,507,0.02,7779.11,3167.7,217,290,54,22,172,Y
15,15,0,13,8,7,1,62,76.77,13.43,13846.63,0.34,176,0.07,769.26,1031,77,99,43,15,92,Y
16,7,0,1,4,4,1,29,40.1,17.35,12067.3,0.23,129,0.06,670.41,695.61,42,87,23,19,48,Y
16,7,0,3,4,4,1,23,34.28,17.58,10589.57,0.2,114,0.06,588.31,602.54,37,77,20,19,44,Y
20,9,0,4,5,5,1,27,48.82,18,15816.54,0.29,160,0.06,878.7,878.7,54,106,27,18,53,Y
12,22,0,1,13,9,9,88,39.57,56.88,127998.63,0.75,381,0.02,7111.03,2250.53,130,251,32,28,104,Y
19,23,0,8,12,9,1,107,167.9,17.6,51980.15,0.98,430,0.06,2887.79,2954.26,207,223,100,17,136,Y
3,35,3,7,18,3,16,43,35.97,20.24,14733.34,0.24,135,0.05,818.52,727.96,49,86,23,19,58,Y
7,7,0,10,4,3,1,22,22.57,29.47,19595.33,0.22,133,0.03,1088.63,665,52,81,15,17,41,Y
31,115,7,45,58,41,16,265,94.26,78.55,581549.44,2.47,1105,0.01,32308.3,7403.99,448,657,77,27,350,Y
10,13,2,2,7,7,1,45,55.74,21.72,26305.77,0.4,218,0.05,1461.43,1210.9,70,148,29,18,61,Y
10,17,0,8,9,5,4,45,39.91,23.57,22176.04,0.31,178,0.04,1232,940.8,55,123,21,18,65,Y
12,22,0,8,13,4,1,57,34.68,37.79,49511.76,0.44,231,0.03,2750.65,1310.33,92,139,28,23,79,Y
4,15,0,0,8,5,1,63,47.28,31.84,47938.33,0.5,257,0.03,2663.24,1505.5,121,136,38,20,69,Y
17,15,0,6,8,7,1,55,99.54,13.25,17475.41,0.44,219,0.08,970.86,1318.9,106,113,52,13,80,Y
5,5,0,5,3,3,1,27,39.98,11.63,5408.68,0.16,93,0.09,300.48,465,34,59,19,13,39,Y
5,11,2,0,6,6,1,34,56.63,16,14498.49,0.3,165,0.06,805.47,906.16,58,107,29,16,45,Y
43,31,0,14,16,12,14,109,132.53,31.82,134181.03,1.41,632,0.03,7454.5,4216.97,278,354,83,19,168,Y
3,7,0,0,4,2,1,13,34.24,7.44,1895.94,0.08,53,0.13,105.33,254.79,23,30,17,11,18,Y
13,5,0,6,3,3,3,36,32.65,33.53,36714.71,0.37,219,0.03,2039.71,1095,76,143,17,15,58,N
3,5,0,0,3,1,1,27,32.68,21.2,14686.72,0.23,134,0.05,815.93,692.77,53,81,20,16,33,Y
1,3,0,0,2,2,1,22,39.49,7.15,2019.08,0.09,57,0.14,112.17,282.39,26,31,20,11,23,Y
10,31,0,10,16,13,14,67,43.6,37.26,60530.39,0.54,285,0.03,3362.8,1624.63,110,175,31,21,89,Y
31,46,0,6,25,16,6,112,53.96,39.81,85536,0.72,346,0.03,4752,2148.47,147,199,48,26,151,Y
5,9,0,0,5,5,4,18,27.67,15,6225,0.14,83,0.07,345.83,415,34,49,17,15,25,Y
18,19,0,3,10,6,1,69,67.82,27.56,51520.06,0.62,306,0.04,2862.23,1869.21,126,180,48,21,92,Y
0,9,0,0,5,1,5,9,11.92,9.6,1098.71,0.04,28,0.1,61.04,114.45,8,20,5,12,11,Y
6,5,1,0,3,3,1,19,38.28,10.5,4220.05,0.13,79,0.1,234.45,401.91,30,49,20,14,28,Y
20,37,0,17,19,14,7,108,96.21,31.13,93233.62,1,458,0.03,5179.65,2994.93,179,279,69,24,147,Y
5,5,8,2,3,3,1,33,29.24,20.64,12458.21,0.2,115,0.05,692.12,603.51,51,64,21,17,50,Y
8,13,0,4,7,4,3,34,27.16,33.33,30180.88,0.3,169,0.03,1676.72,905.43,70,99,21,20,48,Y
55,53,0,18,27,21,3,236,179.95,41.1,304045.51,2.47,1009,0.02,16891.42,7396.9,408,601,134,27,312,Y
30,47,0,31,24,14,12,157,119.1,51.89,320701.9,2.06,840,0.02,17816.77,6180.34,369,471,128,36,218,Y
5,7,0,0,4,4,3,26,30.98,20.09,12501.62,0.21,114,0.05,694.53,622.38,44,70,23,21,33,Y
4,1,0,0,1,1,1,7,26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,12,15,10,7,19,Y
11,11,0,2,6,4,1,72,68.75,30.54,64109.15,0.7,354,0.03,3561.62,2099.48,135,219,42,19,88,Y
11,7,0,15,4,2,1,41,45.27,11.05,5530.43,0.17,103,0.09,307.25,500.37,42,61,19,10,69,Y
6,1,0,0,1,1,1,2,13.5,2,54,0.01,9,0.5,3,27,4,5,4,4,10,Y
3,13,2,8,7,3,5,16,17.04,17.27,5085.32,0.1,60,0.06,282.52,294.41,20,40,11,19,31,Y
27,133,0,91,68,16,32,216,119.8,101.46,1233225.92,4.05,1715,0.01,68512.55,12155,487,1228,96,40,336,Y
17,97,0,92,49,16,34,139,99.72,97,938311.06,3.22,1469,0.01,52128.39,9673.31,388,1081,64,32,250,Y
16,15,0,0,8,1,1,59,28.35,40.95,47536.38,0.39,284,0.02,2640.91,1160.84,117,167,10,7,77,Y
6,5,0,8,3,2,1,17,22.31,12.66,3573.99,0.09,57,0.08,198.55,282.39,27,30,16,15,33,Y
8,7,0,18,4,3,1,22,26.08,21.16,11676.18,0.18,103,0.05,648.68,551.83,49,54,22,19,50,Y
14,33,0,13,17,8,13,81,61.94,33.41,69127.22,0.69,322,0.03,3840.4,2069.26,146,176,59,27,110,Y
8,17,0,15,9,3,5,44,16.63,41.33,28409.39,0.23,134,0.02,1578.3,687.32,62,72,15,20,69,Y
7,43,0,7,22,14,12,99,30.4,65.86,131878.2,0.67,369,0.02,7326.57,2002.29,138,231,22,21,115,Y
4,25,1,2,13,9,12,51,60.3,14.06,11920.88,0.28,151,0.07,662.27,847.82,58,93,33,16,60,Y
4,15,0,0,8,6,6,33,29.2,23.83,16587.25,0.23,126,0.04,921.51,695.97,52,74,24,22,39,Y
2,21,0,0,11,7,6,54,35.82,36.31,47232.71,0.43,225,0.03,2624.04,1300.81,81,144,29,26,58,Y
5,5,0,0,3,2,1,18,28.33,9,2294.94,0.08,59,0.11,127.5,254.99,22,37,11,9,27,N
13,7,0,0,4,3,4,32,44.65,14.4,9257.85,0.21,120,0.07,514.32,642.91,45,75,25,16,47,Y
22,48,5,47,25,13,21,101,63.59,44.21,124304.14,0.94,446,0.02,6905.79,2811.49,191,255,54,25,177,N
6,5,0,7,3,3,1,25,39.96,9.33,3480.62,0.12,76,0.11,193.37,372.92,28,48,18,12,41,Y
13,11,0,0,6,3,6,34,36.63,25.33,23506.58,0.31,171,0.04,1305.92,927.89,64,107,24,19,49,Y
16,69,0,1,35,16,26,164,77.45,42.56,140300.03,1.1,526,0.02,7794.45,3296.33,227,299,56,21,187,Y
22,26,2,3,17,15,7,88,66.48,31.5,65961.57,0.7,318,0.03,3664.53,2094.02,126,192,64,32,117,Y
9,5,1,0,3,3,1,68,98.46,20.72,42268.8,0.68,340,0.05,2348.27,2040,148,192,50,14,80,Y
3,5,1,4,3,3,1,16,22.08,9.69,2073.86,0.07,45,0.1,115.21,213.97,18,27,13,14,28,Y
10,17,0,0,10,9,1,80,69.36,27.65,53022.96,0.64,326,0.04,2945.72,1917.74,93,233,37,22,95,Y
1,1,0,0,1,1,1,3,11.63,2,46.53,0.01,9,0.5,2.58,23.26,4,5,3,3,6,Y
7,15,0,0,8,3,1,29,32.8,20.53,13824.9,0.22,145,0.05,768.05,673.36,73,72,16,9,38,Y
26,85,2,41,43,24,33,223,142.15,40.88,237606.8,1.94,814,0.02,13200.38,5811.59,330,484,113,28,294,Y
21,13,0,13,7,5,4,73,55.34,35.71,70589.89,0.66,327,0.03,3921.66,1976.52,125,202,42,24,109,Y
31,5,8,7,3,3,1,95,192.91,16.32,51400.64,1.05,460,0.06,2855.59,3148.93,202,258,99,16,143,Y
49,11,0,6,6,5,4,138,215.29,34.15,251126.79,2.45,1039,0.03,13951.49,7352.81,444,595,117,18,195,Y
34,17,0,0,9,5,3,250,168.25,62.21,651126.96,3.49,1466,0.02,36173.72,10466.58,673,793,119,22,286,Y
7,5,2,9,3,2,3,15,40.46,8.05,2620.29,0.11,64,0.12,145.57,325.6,26,38,21,13,35,N
66,1,0,0,1,1,1,218,508.42,26.67,361750.51,4.52,1797,0.04,20097.25,13561.77,778,1019,175,12,286,Y
11,1,2,0,1,1,1,55,198.03,6.55,8507.9,0.43,218,0.15,472.66,1298.01,103,115,55,7,70,Y
6,5,0,0,3,3,1,21,38.63,12.04,5599.99,0.16,88,0.08,311.11,465.12,43,45,25,14,29,Y
37,17,2,12,9,4,1,245,166.82,52.04,451812.89,2.89,1216,0.02,25100.72,8681.69,563,653,119,22,298,Y
23,9,1,11,5,3,4,123,146.86,33.11,160969.13,1.62,698,0.03,8942.73,4862.12,310,388,103,22,160,Y
6,11,0,1,6,4,1,32,63.84,13.53,11680.72,0.29,153,0.07,648.93,863.51,77,76,37,13,41,Y
24,21,0,1,11,3,1,46,57.08,27.78,44045.02,0.53,300,0.04,2446.95,1585.62,125,175,27,12,74,Y
